NR_TURNO,NM_MUNICIPIO,NR_SECAO,DS_CARGO_PERGUNTA,SG_PARTIDO,QT_APTOS,QT_COMPARECIMENTO,QT_ABSTENCOES,DS_TIPO_VOTAVEL,NM_VOTAVEL,QT_VOTOS
1,LUCÉLIA,6,Prefeito,PT,320,234,86,Nominal,PROFESSOR SERGIO BELARMINO,8
1,LUCÉLIA,6,Prefeito,PP,320,234,86,Nominal,BICO,33
1,LUCÉLIA,6,Prefeito,#NULO#,320,234,86,Branco,Branco,5
1,LUCÉLIA,6,Prefeito,PV,320,234,86,Nominal,TATI GUILHERMINO,98
1,LUCÉLIA,6,Prefeito,#NULO#,320,234,86,Nulo,Nulo,10
1,LUCÉLIA,6,Prefeito,PTB,320,234,86,Nominal,CARLOS ANANIAS JUNIOR,80
1,LUCÉLIA,7,Prefeito,#NULO#,317,225,92,Nulo,Nulo,11
1,LUCÉLIA,7,Prefeito,PTB,317,225,92,Nominal,CARLOS ANANIAS JUNIOR,61
1,LUCÉLIA,7,Prefeito,PT,317,225,92,Nominal,PROFESSOR SERGIO BELARMINO,8
1,LUCÉLIA,7,Prefeito,#NULO#,317,225,92,Branco,Branco,6
1,LUCÉLIA,7,Prefeito,PP,317,225,92,Nominal,BICO,26
1,LUCÉLIA,7,Prefeito,PV,317,225,92,Nominal,TATI GUILHERMINO,113
1,LUCÉLIA,8,Prefeito,PTB,318,233,85,Nominal,CARLOS ANANIAS JUNIOR,84
1,LUCÉLIA,8,Prefeito,#NULO#,318,233,85,Nulo,Nulo,11
1,LUCÉLIA,8,Prefeito,PV,318,233,85,Nominal,TATI GUILHERMINO,90
1,LUCÉLIA,8,Prefeito,#NULO#,318,233,85,Branco,Branco,3
1,LUCÉLIA,8,Prefeito,PP,318,233,85,Nominal,BICO,39
1,LUCÉLIA,8,Prefeito,PT,318,233,85,Nominal,PROFESSOR SERGIO BELARMINO,6
1,LUCÉLIA,9,Prefeito,#NULO#,323,230,93,Nulo,Nulo,15
1,LUCÉLIA,9,Prefeito,PTB,323,230,93,Nominal,CARLOS ANANIAS JUNIOR,67
1,LUCÉLIA,9,Prefeito,PT,323,230,93,Nominal,PROFESSOR SERGIO BELARMINO,11
1,LUCÉLIA,9,Prefeito,PP,323,230,93,Nominal,BICO,33
1,LUCÉLIA,9,Prefeito,#NULO#,323,230,93,Branco,Branco,13
1,LUCÉLIA,9,Prefeito,PV,323,230,93,Nominal,TATI GUILHERMINO,91
1,LUCÉLIA,10,Prefeito,PTB,320,235,85,Nominal,CARLOS ANANIAS JUNIOR,72
1,LUCÉLIA,10,Prefeito,#NULO#,320,235,85,Nulo,Nulo,8
1,LUCÉLIA,10,Prefeito,PT,320,235,85,Nominal,PROFESSOR SERGIO BELARMINO,11
1,LUCÉLIA,10,Prefeito,PV,320,235,85,Nominal,TATI GUILHERMINO,91
1,LUCÉLIA,10,Prefeito,#NULO#,320,235,85,Branco,Branco,15
1,LUCÉLIA,10,Prefeito,PP,320,235,85,Nominal,BICO,38
1,LUCÉLIA,11,Prefeito,PP,321,236,85,Nominal,BICO,39
1,LUCÉLIA,11,Prefeito,#NULO#,321,236,85,Branco,Branco,9
1,LUCÉLIA,11,Prefeito,PV,321,236,85,Nominal,TATI GUILHERMINO,98
1,LUCÉLIA,11,Prefeito,#NULO#,321,236,85,Nulo,Nulo,8
1,LUCÉLIA,11,Prefeito,PTB,321,236,85,Nominal,CARLOS ANANIAS JUNIOR,72
1,LUCÉLIA,11,Prefeito,PT,321,236,85,Nominal,PROFESSOR SERGIO BELARMINO,10
1,LUCÉLIA,12,Prefeito,#NULO#,317,244,73,Nulo,Nulo,15
1,LUCÉLIA,12,Prefeito,PTB,317,244,73,Nominal,CARLOS ANANIAS JUNIOR,76
1,LUCÉLIA,12,Prefeito,PT,317,244,73,Nominal,PROFESSOR SERGIO BELARMINO,9
1,LUCÉLIA,12,Prefeito,#NULO#,317,244,73,Branco,Branco,7
1,LUCÉLIA,12,Prefeito,PP,317,244,73,Nominal,BICO,39
1,LUCÉLIA,12,Prefeito,PV,317,244,73,Nominal,TATI GUILHERMINO,98
1,LUCÉLIA,13,Prefeito,PTB,441,315,126,Nominal,CARLOS ANANIAS JUNIOR,71
1,LUCÉLIA,13,Prefeito,#NULO#,441,315,126,Nulo,Nulo,25
1,LUCÉLIA,13,Prefeito,PT,441,315,126,Nominal,PROFESSOR SERGIO BELARMINO,5
1,LUCÉLIA,13,Prefeito,PV,441,315,126,Nominal,TATI GUILHERMINO,142
1,LUCÉLIA,13,Prefeito,#NULO#,441,315,126,Branco,Branco,8
1,LUCÉLIA,13,Prefeito,PP,441,315,126,Nominal,BICO,64
1,LUCÉLIA,17,Prefeito,PTB,342,251,91,Nominal,CARLOS ANANIAS JUNIOR,63
1,LUCÉLIA,17,Prefeito,PT,342,251,91,Nominal,PROFESSOR SERGIO BELARMINO,7
1,LUCÉLIA,17,Prefeito,#NULO#,342,251,91,Nulo,Nulo,14
1,LUCÉLIA,17,Prefeito,PV,342,251,91,Nominal,TATI GUILHERMINO,117
1,LUCÉLIA,17,Prefeito,#NULO#,342,251,91,Branco,Branco,5
1,LUCÉLIA,17,Prefeito,PP,342,251,91,Nominal,BICO,45
1,LUCÉLIA,18,Prefeito,#NULO#,341,261,80,Nulo,Nulo,11
1,LUCÉLIA,18,Prefeito,PTB,341,261,80,Nominal,CARLOS ANANIAS JUNIOR,73
1,LUCÉLIA,18,Prefeito,PT,341,261,80,Nominal,PROFESSOR SERGIO BELARMINO,13
1,LUCÉLIA,18,Prefeito,#NULO#,341,261,80,Branco,Branco,8
1,LUCÉLIA,18,Prefeito,PV,341,261,80,Nominal,TATI GUILHERMINO,114
1,LUCÉLIA,18,Prefeito,PP,341,261,80,Nominal,BICO,42
1,LUCÉLIA,19,Prefeito,PP,341,237,104,Nominal,BICO,36
1,LUCÉLIA,19,Prefeito,#NULO#,341,237,104,Branco,Branco,4
