NM_MUNICIPIO,NR_TURNO,NR_SECAO,NM_LOCAL_VOTACAO,NR_LATITUDE,NR_LONGITUDE
LUCÉLIA,1,7,EE JOSE FIRPO,-1.0,-1.0
OSVALDO CRUZ,1,115,ETEC AMIM JUNDI,-21.7914906,-50.8765847
MARÍLIA,1,71,EE GABRIEL MONTEIRO DA SILVA,-22.2157852,-49.9542383
PRESIDENTE PRUDENTE,1,289,CENTRO DE EDUCAÇÃO INTEGRAL CIDADE ESCOLA JOSÉ CARLOS PIMENTA,-22.1145348,-51.405466
PRESIDENTE PRUDENTE,1,375,E.M. PROFª JOVITA TERIN,-22.0870122,-51.3831653
ADAMANTINA,1,39,EMEF. NAVARRO DE ANDRADE,-21.6891015,-51.0798656
MARÍLIA,1,61,EE PROF CARLOTA DE NEGREIROS ROCHA,-22.224271,-49.9412177
MARÍLIA,1,283,EMEF PROF. AMAURY PACHECO,-22.206582,-49.9704816
ADAMANTINA,1,66,EMEF. PROFESSORA TERUYO KIKUTA,-21.683468,-51.0678073
PRESIDENTE PRUDENTE,1,237,E. E. PROFº ARLINDO FANTINI,-22.1093764,-51.4110335
PRESIDENTE PRUDENTE,1,293,E. M. DOMINGOS FERREIRA DE MEDEIROS,-22.1051268,-51.3880732
ADAMANTINA,1,1,FACULDADES  ADAMANTINENSES INTEGRADAS - CAMPUS I,-21.6856842,-51.0798299
MARÍLIA,1,408,EMEI CRECHE - PINGO DE GENTE,-22.2399353,-49.9342782
MARÍLIA,1,205,EMEF. PROFº OLÍMPIO CRUZ,-22.1549922,-49.9651432
MARÍLIA,1,233, EMEF. PROFª RENY PEREIRA CORDEIRO,-22.2381417,-49.9154975
LUCÉLIA,1,47,EMEF.  PROFA SOLEDADE DOMINGUES IGLESIA,-1.0,-1.0
PRESIDENTE PRUDENTE,1,159,COLÉGIO ÁTOMO,-22.1234485,-51.4197442
RANCHARIA,1,68,EE. JOSÉ GIORGI,-22.2272722,-50.8834943
OSVALDO CRUZ,1,98,EE PROFA MARIA APARECIDA LOPES,-21.7974634,-50.8955461
TUPÃ,1,154,EE .PROF. IRENE RESINA MIGLIORUCCI,-21.9303421,-50.4944143
PRESIDENTE PRUDENTE,1,136,CENTRO EDUCACIONAL SESI 423,-22.1334065,-51.4490591
PRESIDENTE PRUDENTE,1,306,CENTRO DE EDUCAÇÃO INTEGRAL CIDADE ESCOLA JOSÉ CARLOS PIMENTA,-22.1145348,-51.405466
DRACENA,1,7,FACULDADE DE DRACENA - FAD/UNIESP,-1.0,-1.0
DRACENA,1,29,EE PROFA JULIETA GUEDES DE MENDONCA,-21.4935667,-51.5381708
DRACENA,1,34,EE PROFA JULIETA GUEDES DE MENDONCA,-21.4935667,-51.5381708
PRESIDENTE PRUDENTE,1,135,E. E. PROFº HUGO MIELE,-22.1120854,-51.3923448
MARÍLIA,1,236,EE. PROFA. SYLVIA RIBEIRO DE CARVALHO,-22.2569532,-49.9294537
PRESIDENTE PRUDENTE,1,18,E.E. FLORIVALDO LEAL,-22.1292137,-51.3941376
MARÍLIA,1,296,ESCOLA TÉCNICA INDUST. ANTÔNIO DEVISATE,-22.2080341,-49.9536804
TUPÃ,1,31,EE. PROF. HELENA PAVANELLI PORTO,-21.9387273,-50.5131266
PRESIDENTE PRUDENTE,1,66,E.E. MARIA LUIZA FORMOZINHO RIBEIRO,-22.1223496,-51.400154
PRESIDENTE PRUDENTE,1,103,E. E.  COMENDADOR TANNEL ABBUD,-22.1149986,-51.3763971
PARAPUÃ,1,74,EE DE PARAPUA,-21.778316,-50.7940589
MARÍLIA,1,109,E.E. PROFª RUTH MAMEDE DE GODOY ,-21.9965033,-49.977764
MARÍLIA,1,17,INSTITUTO DAS APÓSTOLAS SAGRADO CORAÇÃO DE JESUS,-22.2132291,-49.9478041
MARÍLIA,1,246,COLÉGIO CRIATIVO ,-22.2277428,-49.9257227
MARÍLIA,1,269,EMEI. ESTRELINHA DOURADA ,-22.1761929,-49.9545109
MARÍLIA,1,112,EE. MONSENHOR BICUDO,-22.2229886,-49.9558914
MARÍLIA,1,292,EMEFEI - CHICO XAVIER,-22.2369283,-49.9786711
MARÍLIA,1,55,EE PROF. BALTAZAR DE GODOY MOREIRA,-22.2015503,-49.9591456
MARÍLIA,1,129, E.E. PROFª WANDA HELENA TOPPAN NOGUEIRA,-22.1886052,-49.9290144
PRESIDENTE PRUDENTE,1,107,E. E.  COMENDADOR TANNEL ABBUD,-22.1149986,-51.3763971
MARÍLIA,1,192,EMEF. PROFº OLÍMPIO CRUZ,-22.1549922,-49.9651432
TUPÃ,1,94,EE.  PROF. ESTHER VERIS CERPE,-21.9314332,-50.5213298
PRESIDENTE PRUDENTE,1,127,E. M. DR. JOÃO FRANCO DE GODOY,-22.1136855,-51.3963995
MARÍLIA,1,127,EMEF. PROFº OLÍMPIO CRUZ,-22.1549922,-49.9651432
MARÍLIA,1,176, EMEF. PROFº AMÉRICO CAPELOZZA,-22.1821404,-49.9545302
PRESIDENTE PRUDENTE,1,362,E. E. PROFº ARLINDO FANTINI,-22.1093764,-51.4110335
MARÍLIA,1,65,EE GABRIEL MONTEIRO DA SILVA,-22.2157852,-49.9542383
DRACENA,1,32,EE PROFA JULIETA GUEDES DE MENDONCA,-21.4935667,-51.5381708
DRACENA,1,114,FACULDADE REGES,-21.5033029,-51.542601
MARÍLIA,1,419,EMEF PROF PAULO REGLUS NEVES FREIRE,-22.2517657,-49.9408542
PRESIDENTE PRUDENTE,1,248,E. M. DR. CARLOS BRAGA,-21.8023051,-51.2979936
MARÍLIA,1,245,EMEF PROF. NELSON GABALDI,-22.2205414,-49.9722993
MARÍLIA,1,403,EE. VEREADOR SEBASTIÃO MÔNACO,-22.2218538,-49.9710231
TUPÃ,1,59,EE. PROF.  ANÍSIO CARNEIRO,-21.9260699,-50.5106997
PRESIDENTE PRUDENTE,1,122,E. M. DR. JOÃO FRANCO DE GODOY,-22.1136855,-51.3963995
TUPÃ,1,186,EMEF. PROF. JOÃO GERALDO IORI,-21.9319082,-50.4908439
MARÍLIA,1,184, E.E. PROFª WANDA HELENA TOPPAN NOGUEIRA,-22.1886052,-49.9290144
MARÍLIA,1,224,COLÉGIO CRISTO REI,-22.2077714,-49.9403623
LUCÉLIA,1,34,EMEI ADELITA FIRPO,-1.0,-1.0
PRESIDENTE PRUDENTE,1,316,E. M. PROFª JURACI MENESES PERALTA,-22.0868608,-51.3973765
TUPÃ,1,147,EE. MAESTRO NELSON DE CASTRO,-21.9428371,-50.5225869
MARÍLIA,1,137,E.E. PROFª RUTH MAMEDE DE GODOY ,-21.9965033,-49.977764
ADAMANTINA,1,17,EE. PROFESSORA FLEURIDES CAVALLINI MENECHINO,-21.6930535,-51.0701944
MARÍLIA,1,304,EE. MONSENHOR BICUDO,-22.2229886,-49.9558914
DRACENA,1,33,EE PROFA JULIETA GUEDES DE MENDONCA,-21.4935667,-51.5381708
PRESIDENTE PRUDENTE,1,157,E.E.  PROFª FÁTIMA APARECIDA COSTA FALCON,-22.1179737,-51.4336978
TUPÃ,1,143,EE. ÍNDIA VANUIRE,-21.9350893,-50.5169581
TUPÃ,1,19,EE. DR. LÉLIO TOLEDO  PIZA E ALMEIDA,-21.9385669,-50.5163101
DRACENA,1,12,EE ENG ISAC PEREIRA GARCEZ,-21.4844021,-51.5313189
MARÍLIA,1,222,EMEF. GOVERNADOR MÁRIO COVAS ,-22.1648765,-49.9749085
PRESIDENTE PRUDENTE,1,146,COLÉGIO ÁTOMO,-22.1234485,-51.4197442
MARÍLIA,1,307,COLÉGIO ÁGUA VIVA,-22.2331943,-49.9362083
LUCÉLIA,1,18,EMEF PROFA MARIA DO CARMO DE MENEZES MENDONCA,-1.0,-1.0
LUCÉLIA,1,51,EE JOSE FIRPO,-1.0,-1.0
PRESIDENTE PRUDENTE,1,130,E.M.  JOÃO SEBASTIÃO LISBOA,-22.1223398,-51.4003314
RANCHARIA,1,50,EE. DOM ANTONIO JOSÉ DOS SANTOS,-22.2280026,-50.8917407
OSVALDO CRUZ,1,102,EE PROFA MARIA APARECIDA LOPES,-21.7974634,-50.8955461
PRESIDENTE PRUDENTE,1,321,E. M. RUI CARLOS VIEIRA BERBERT,-22.0860719,-51.3819163
PRESIDENTE PRUDENTE,1,143,E.M.  PROFª.  FRANCISCA ALMEIDA GOES BRANDÃO,-22.1334779,-51.4007175
ADAMANTINA,1,15,EE. PROFESSORA FLEURIDES CAVALLINI MENECHINO,-21.6930535,-51.0701944
MARÍLIA,1,113,E.E. PROFª AMÉLIA LOPES ANDERS ,-22.1691793,-49.971775
MARÍLIA,1,3, E.E. PROFª WANDA HELENA TOPPAN NOGUEIRA,-22.1886052,-49.9290144
MARÍLIA,1,243,E.E. DR. WALDEMAR MONIZ DA ROCHA BARROS ,-22.2032502,-49.9489875
PRESIDENTE PRUDENTE,1,148,E.E.  PROFª FÁTIMA APARECIDA COSTA FALCON,-22.1179737,-51.4336978
PRESIDENTE PRUDENTE,1,151,E.E.  PROFª FÁTIMA APARECIDA COSTA FALCON,-22.1179737,-51.4336978
PRESIDENTE PRUDENTE,1,257,TOLEDO PRUDENTE CENTRO UNIVERSITÁRIO - BLOCO 01,-22.1142343,-51.3760963
RANCHARIA,1,29,EE. DR. BENEDITO MARTINS BARBOSA,-22.2263605,-50.8905838
PRESIDENTE PRUDENTE,1,248,FATEC. - PRESIDENTE PRUDENTE,-22.1394318,-51.3843645
MARÍLIA,1,4, E.E. PROFª WANDA HELENA TOPPAN NOGUEIRA,-22.1886052,-49.9290144
MARÍLIA,1,86,E.E. ANTONIO AUGUSTO NETTO,-22.2395782,-49.9246842
PRESIDENTE PRUDENTE,1,72,FACULDADE DE CIÊNCIAS E TECNOLOGIA - UNESP,-22.1203305,-51.4058142
PRESIDENTE PRUDENTE,1,23,E.M. PROF. JOSÉ CARLOS JOÃO,-22.1422103,-51.391758
PRESIDENTE PRUDENTE,1,260,COLÉGIO CRISTO REI,-22.1201108,-51.3886873
MARÍLIA,1,44,E.E. PROF ANTONIO DE BAPTISTA,-22.1891408,-49.9575689
MARÍLIA,1,101, E.E. PROFª MARIA CECÍLIA FERRAZ DE FREITAS ,-22.2458311,-49.927021
DRACENA,1,76,FACULDADE REGES,-21.5033029,-51.542601
DRACENA,1,88,EMEFI PROFA LUIZA ROSSA RIBEIRO,-21.4872018,-51.5460907
MARÍLIA,1,227,EMEF. PROFª NICÁCIA GARCIA GIL,-22.246563,-49.9168576
TUPÃ,1,53,EE. PROF.  ANÍSIO CARNEIRO,-21.9260699,-50.5106997
RANCHARIA,1,153,EE. DOM ANTONIO JOSÉ DOS SANTOS,-22.2280026,-50.8917407
MARÍLIA,1,138,EE. BENTO DE ABREU SAMPAIO VIDAL,-22.2106909,-49.9343945
MARÍLIA,1,174,EMEF. PROFº ISALTINO DE CAMPOS,-22.1473366,-49.9599627
MARÍLIA,1,215,EMEF ROBERTO CAETANO CIMINO,-22.1629709,-49.9453475
MARÍLIA,1,255,COLÉGIO CRIATIVO ,-22.2277428,-49.9257227
PRESIDENTE PRUDENTE,1,242,COLÉGIO JP,-22.1072177,-51.4194805
PRESIDENTE PRUDENTE,1,168,E.E. PROFª. MIRELLA PESCE DESIDERE,-22.1100781,-51.429227
PRESIDENTE PRUDENTE,1,284,E.E. JOAO CARLOS PADILHA DE SIQUEIRA,-22.1439867,-51.3750667
PRESIDENTE PRUDENTE,1,132,E. E. PROFº HUGO MIELE,-22.1120854,-51.3923448
MARÍLIA,1,121,CEEJA - PROF. SEBASTIANA ULIAN PESSINE,-22.2224334,-49.95046
OSVALDO CRUZ,1,118,EE PROFA MARIA APARECIDA LOPES,-21.7974634,-50.8955461
MARÍLIA,1,123,EE. PROFA. ORACINA CORREA DE MORAES RODINE,-22.2025579,-49.9681609
PRESIDENTE PRUDENTE,1,234,FATEC. - PRESIDENTE PRUDENTE,-22.1394318,-51.3843645
TUPÃ,1,76,EE. JOAQUIM ABARCA,-21.9249798,-50.5229554
TUPÃ,1,125,ETE. PROF.  MASSUYUKI KAWANO,-21.9388465,-50.5267171
TUPÃ,1,145,EE. MAESTRO NELSON DE CASTRO,-21.9428371,-50.5225869
LUCÉLIA,1,50,EMEF PROFA MARIA DO CARMO DE MENEZES MENDONCA,-1.0,-1.0
TUPÃ,1,114,EMEF. PROF. ODINIR MAGNANI,-21.9215103,-50.5308818
MARÍLIA,1,352,EMEF PROF. NELSON GABALDI,-22.2205414,-49.9722993
MARÍLIA,1,382,EMEI CRECHE - PINGO DE GENTE,-22.2399353,-49.9342782
DRACENA,1,79,COLÉGIO DASK,-21.4898718,-51.5223318
TUPÃ,1,58,EE. PROF.  ANÍSIO CARNEIRO,-21.9260699,-50.5106997
