NM_MUNICIPIO,NR_TURNO,NR_SECAO,NM_LOCAL_VOTACAO,NR_LATITUDE,NR_LONGITUDE
LUCÉLIA,1,7,EE JOSE FIRPO,-1.0,-1.0
OSVALDO CRUZ,1,115,ETEC AMIM JUNDI,-21.7914906,-50.8765847
ADAMANTINA,1,39,EMEF. NAVARRO DE ANDRADE,-21.6891015,-51.0798656
CÂNDIDO MOTA,1,18,EEPG. CLOTILDE DE CASTRO BARREIRA,-22.7473525,-50.3875546
ADAMANTINA,1,66,EMEF. PROFESSORA TERUYO KIKUTA,-21.683468,-51.0678073
CÂNDIDO MOTA,1,73,ETEC PROF. LUIZ PIRES BARBOSA,-22.7429184,-50.374665
TARUMÃ,1,113,E.M.E.F.E.I. GILBERTO LEX,-22.7525683,-50.5773583
ADAMANTINA,1,1,FACULDADES  ADAMANTINENSES INTEGRADAS - CAMPUS I,-21.6856842,-51.0798299
LUCÉLIA,1,47,EMEF.  PROFA SOLEDADE DOMINGUES IGLESIA,-1.0,-1.0
RANCHARIA,1,68,EE. JOSÉ GIORGI,-22.2272722,-50.8834943
OSVALDO CRUZ,1,98,EE PROFA MARIA APARECIDA LOPES,-21.7974634,-50.8955461
TUPÃ,1,154,EE .PROF. IRENE RESINA MIGLIORUCCI,-21.9303421,-50.4944143
DRACENA,1,7,FACULDADE DE DRACENA - FAD/UNIESP,-1.0,-1.0
DRACENA,1,29,EE PROFA JULIETA GUEDES DE MENDONCA,-21.4935667,-51.5381708
DRACENA,1,34,EE PROFA JULIETA GUEDES DE MENDONCA,-21.4935667,-51.5381708
TUPÃ,1,31,EE. PROF. HELENA PAVANELLI PORTO,-21.9387273,-50.5131266
PARAPUÃ,1,74,EE DE PARAPUA,-21.778316,-50.7940589
TUPÃ,1,94,EE.  PROF. ESTHER VERIS CERPE,-21.9314332,-50.5213298
DRACENA,1,32,EE PROFA JULIETA GUEDES DE MENDONCA,-21.4935667,-51.5381708
DRACENA,1,114,FACULDADE REGES,-21.5033029,-51.542601
TUPÃ,1,59,EE. PROF.  ANÍSIO CARNEIRO,-21.9260699,-50.5106997
CÂNDIDO MOTA,1,33,EM. HELENA PUPIM ALBANEZ,-22.7425495,-50.3907126
TUPÃ,1,186,EMEF. PROF. JOÃO GERALDO IORI,-21.9319082,-50.4908439
LUCÉLIA,1,34,EMEI ADELITA FIRPO,-1.0,-1.0
TUPÃ,1,147,EE. MAESTRO NELSON DE CASTRO,-21.9428371,-50.5225869
ADAMANTINA,1,17,EE. PROFESSORA FLEURIDES CAVALLINI MENECHINO,-21.6930535,-51.0701944
DRACENA,1,33,EE PROFA JULIETA GUEDES DE MENDONCA,-21.4935667,-51.5381708
TUPÃ,1,143,EE. ÍNDIA VANUIRE,-21.9350893,-50.5169581
TARUMÃ,1,119,E.M.E.F.E.I. JOSÉ RODRIGUES DOS SANTOS,-22.7457483,-50.5841683
TARUMÃ,1,115,E.M.E.F.E.I. GILBERTO LEX,-22.7525683,-50.5773583
TUPÃ,1,19,EE. DR. LÉLIO TOLEDO  PIZA E ALMEIDA,-21.9385669,-50.5163101
DRACENA,1,12,EE ENG ISAC PEREIRA GARCEZ,-21.4844021,-51.5313189
LUCÉLIA,1,18,EMEF PROFA MARIA DO CARMO DE MENEZES MENDONCA,-1.0,-1.0
LUCÉLIA,1,51,EE JOSE FIRPO,-1.0,-1.0
RANCHARIA,1,50,EE. DOM ANTONIO JOSÉ DOS SANTOS,-22.2280026,-50.8917407
OSVALDO CRUZ,1,102,EE PROFA MARIA APARECIDA LOPES,-21.7974634,-50.8955461
ADAMANTINA,1,15,EE. PROFESSORA FLEURIDES CAVALLINI MENECHINO,-21.6930535,-51.0701944
RANCHARIA,1,29,EE. DR. BENEDITO MARTINS BARBOSA,-22.2263605,-50.8905838
TARUMÃ,1,205,EE. VILA DO LAGO,-22.7519583,-50.5785583
DRACENA,1,76,FACULDADE REGES,-21.5033029,-51.542601
DRACENA,1,88,EMEFI PROFA LUIZA ROSSA RIBEIRO,-21.4872018,-51.5460907
TUPÃ,1,53,EE. PROF.  ANÍSIO CARNEIRO,-21.9260699,-50.5106997
RANCHARIA,1,153,EE. DOM ANTONIO JOSÉ DOS SANTOS,-22.2280026,-50.8917407
OSVALDO CRUZ,1,118,EE PROFA MARIA APARECIDA LOPES,-21.7974634,-50.8955461
CÂNDIDO MOTA,1,54,EE. DR. JOSÉ AUGUSTO DE CARVALHO,-22.7505989,-50.3863
TUPÃ,1,76,EE. JOAQUIM ABARCA,-21.9249798,-50.5229554
TUPÃ,1,125,ETE. PROF.  MASSUYUKI KAWANO,-21.9388465,-50.5267171
TUPÃ,1,145,EE. MAESTRO NELSON DE CASTRO,-21.9428371,-50.5225869
LUCÉLIA,1,50,EMEF PROFA MARIA DO CARMO DE MENEZES MENDONCA,-1.0,-1.0
TUPÃ,1,114,EMEF. PROF. ODINIR MAGNANI,-21.9215103,-50.5308818
DRACENA,1,79,COLÉGIO DASK,-21.4898718,-51.5223318
TUPÃ,1,58,EE. PROF.  ANÍSIO CARNEIRO,-21.9260699,-50.5106997
TUPÃ,1,67,EE.  PROF. ESTHER VERIS CERPE,-21.9314332,-50.5213298
TUPÃ,1,35,EE. PROF. HELENA PAVANELLI PORTO,-21.9387273,-50.5131266
TUPÃ,1,85,EE. JOAQUIM ABARCA,-21.9249798,-50.5229554
TUPÃ,1,45,EE. PROF. SEBASTIÃO TEIXEIRA PINTO,-21.9384359,-50.5053357
TUPÃ,1,155,EE .PROF. IRENE RESINA MIGLIORUCCI,-21.9303421,-50.4944143
CÂNDIDO MOTA,1,24,EEPG. CLOTILDE DE CASTRO BARREIRA,-22.7473525,-50.3875546
RANCHARIA,1,88,EE. DOM ANTONIO JOSÉ DOS SANTOS,-22.2280026,-50.8917407
TUPÃ,1,126,EMEF. PROF. ODINIR MAGNANI,-21.9215103,-50.5308818
RANCHARIA,1,33,EM. DONA MILOCA,-22.2309771,-50.8993541
RANCHARIA,1,59,EM. LUIZ DORINI,-22.2302582,-50.8758251
RANCHARIA,1,40,EE. JOÃO PEREZ SANTOS,-22.5322111,-50.9114426
TUPÃ,1,120,EMEF. PROF. JOÃO GERALDO IORI,-21.9319082,-50.4908439
TARUMÃ,1,208,E.M.E.F.E.I. JOSÉ RODRIGUES DOS SANTOS,-22.7457483,-50.5841683
TUPÃ,1,158,EMEF. GOVERNADOR MÁRIO COVAS,-21.9443228,-50.4919288
DRACENA,1,55,FACULDADE REGES,-21.5033029,-51.542601
DRACENA,1,13,EE ENG ISAC PEREIRA GARCEZ,-21.4844021,-51.5313189
PARAPUÃ,1,80,EMEF PROFESSORA ZIZI PEREIRA DE SOUZA,-21.782315,-50.7888623
ADAMANTINA,1,87,EE. PROFESSORA FLEURIDES CAVALLINI MENECHINO,-21.6930535,-51.0701944
ADAMANTINA,1,116,ETE PROFESSOR EUDÉCIO LUIZ VICENTE,-21.6780524,-51.0694713
TUPÃ,1,36,EE. ÍNDIA VANUIRE,-21.9350893,-50.5169581
CÂNDIDO MOTA,1,65,EEPG. PROFA. OLGA BREVE ALVES,-22.7554255,-50.3717527
CÂNDIDO MOTA,1,45,EEPG. ANTONIO FONTANA,-22.8420265,-50.5195326
OSVALDO CRUZ,1,82,EMEFI DOUTOR GETULIO VARGAS,-21.7999407,-50.8724599
RANCHARIA,1,37,EE. JOSÉ GIORGI,-22.2272722,-50.8834943
TUPÃ,1,34,EE. PROF. HELENA PAVANELLI PORTO,-21.9387273,-50.5131266
PARAPUÃ,1,61,EE DE PARAPUA,-21.778316,-50.7940589
ADAMANTINA,1,86,EE. PROFESSOR DURVALINO GRION,-21.6785734,-51.0768388
TUPÃ,1,28,EE. PROF. HELENA PAVANELLI PORTO,-21.9387273,-50.5131266
TUPÃ,1,17,EE. DR. LÉLIO TOLEDO  PIZA E ALMEIDA,-21.9385669,-50.5163101
ADAMANTINA,1,69,EE. PROFESSOR DURVALINO GRION,-21.6785734,-51.0768388
LUCÉLIA,1,40,EMEF PROFA MARIA DO CARMO DE MENEZES MENDONCA,-1.0,-1.0
LUCÉLIA,1,33,EMEI ADELITA FIRPO,-1.0,-1.0
TUPÃ,1,32,EE. PROF. HELENA PAVANELLI PORTO,-21.9387273,-50.5131266
TUPÃ,1,4,EE. ÍNDIA VANUIRE,-21.9350893,-50.5169581
OSVALDO CRUZ,1,7,ETEC AMIM JUNDI,-21.7914906,-50.8765847
RANCHARIA,1,16,EM. DR. JULIO LUCANT,-22.2271764,-50.8917237
TUPÃ,1,70,EE.  PROF. ESTHER VERIS CERPE,-21.9314332,-50.5213298
TUPÃ,1,144,EE. MAESTRO NELSON DE CASTRO,-21.9428371,-50.5225869
TUPÃ,1,99,EE. LUIZ DE SOUZA LEÃO,-21.932653,-50.5022959
ADAMANTINA,1,8,EE. PROFESSORA FLEURIDES CAVALLINI MENECHINO,-21.6930535,-51.0701944
CÂNDIDO MOTA,1,13,EE. JOSÉ DOS SANTOS ALMEIDA,-22.7489986,-50.3837065
TUPÃ,1,124,EE .PROF. IRENE RESINA MIGLIORUCCI,-21.9303421,-50.4944143
DRACENA,1,111,COLÉGIO DASK,-21.4898718,-51.5223318
DRACENA,1,5,EMEFI JOAO VENDRAMINI,-21.4832305,-51.5344182
PARAPUÃ,1,100,CRECHE ESCOLA PEQUENO PRÍNCIPE,-21.779962,-50.7855859
OSVALDO CRUZ,1,2,ETEC AMIM JUNDI,-21.7914906,-50.8765847
RANCHARIA,1,42,EMEFEI. CARLOS BUENO DE TOLEDO,-22.6262523,-50.9066885
RANCHARIA,1,58,EE. JOSÉ GIORGI,-22.2272722,-50.8834943
RANCHARIA,1,69,EM. DONA MILOCA,-22.2309771,-50.8993541
RANCHARIA,1,82,EM. LUIZ DORINI,-22.2302582,-50.8758251
OSVALDO CRUZ,1,69,EE DOM BOSCO,-21.7964924,-50.8799394
LUCÉLIA,1,59,EMEF ARGEMIRO DE ALMEIDA GONZAGA,-1.0,-1.0
LUCÉLIA,1,55,EE JOSE FIRPO,-1.0,-1.0
OSVALDO CRUZ,1,24,COLÉGIO APOLO,-21.7991197,-50.8734154
CÂNDIDO MOTA,1,1,EEPSG. RACHID JABUR,-22.7407859,-50.391589
TUPÃ,1,15,EE. DR. LÉLIO TOLEDO  PIZA E ALMEIDA,-21.9385669,-50.5163101
TUPÃ,1,136,EE.  PROF. ESTHER VERIS CERPE,-21.9314332,-50.5213298
RANCHARIA,1,22,EE. DOM ANTONIO JOSÉ DOS SANTOS,-22.2280026,-50.8917407
DRACENA,1,39,EMEFI PROFA LUIZA ROSSA RIBEIRO,-21.4872018,-51.5460907
CÂNDIDO MOTA,1,60,EEPG. PROFA. OLGA BREVE ALVES,-22.7554255,-50.3717527
RANCHARIA,1,57,ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS,-22.2279013,-50.8937046
OSVALDO CRUZ,1,6,ETEC AMIM JUNDI,-21.7914906,-50.8765847
TUPÃ,1,174,EMEF. PROF. ODINIR MAGNANI,-21.9215103,-50.5308818
CÂNDIDO MOTA,1,49,EE. DR. JOSÉ AUGUSTO DE CARVALHO,-22.7505989,-50.3863
ADAMANTINA,1,106,EE. HELEN KELLER,-21.6924798,-51.069082
TUPÃ,1,141,EE. DR. LÉLIO TOLEDO  PIZA E ALMEIDA,-21.9385669,-50.5163101
ADAMANTINA,1,77,EE. HELEN KELLER,-21.6924798,-51.069082
TUPÃ,1,118,EE.  PROF. ESTHER VERIS CERPE,-21.9314332,-50.5213298
LUCÉLIA,1,45,EMEI ADELITA FIRPO,-1.0,-1.0
ADAMANTINA,1,26,EE. PROFESSOR DURVALINO GRION,-21.6785734,-51.0768388
PARAPUÃ,1,39,EMEF PROFESSORA ZIZI PEREIRA DE SOUZA,-21.782315,-50.7888623
TUPÃ,1,119,EE .PROF. IRENE RESINA MIGLIORUCCI,-21.9303421,-50.4944143
DRACENA,1,73,ESCOLA TÉCNICA CEP/UME,-21.4858446,-51.5317264
TARUMÃ,1,114,E.M.E.F.E.I. GILBERTO LEX,-22.7525683,-50.5773583
DRACENA,1,108,FACULDADE DE DRACENA - FAD/UNIESP,-1.0,-1.0
TUPÃ,1,11,EE. ÍNDIA VANUIRE,-21.9350893,-50.5169581
TARUMÃ,1,112,E.M.E.F.E.I. GILBERTO LEX,-22.7525683,-50.5773583
TUPÃ,1,91,EE. LUIZ DE SOUZA LEÃO,-21.932653,-50.5022959
TUPÃ,1,12,EE. DR. LÉLIO TOLEDO  PIZA E ALMEIDA,-21.9385669,-50.5163101
LUCÉLIA,1,24,EMEF ARGEMIRO DE ALMEIDA GONZAGA,-1.0,-1.0
DRACENA,1,113,E.E ALFREDO MACHADO,-21.4906607,-51.5537528
